epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7316,1.37849,3.41381,1.56521,0.32299,0.13729,0.09441,0.05366,1.35056,3.28979,1.59604,0.000297491,0.000297491,0.000297491
2,24.1378,1.4243,2.40344,1.55481,0.15148,0.43978,0.21231,0.14668,1.42796,5.0218,1.66155,0.000594546,0.000594546,0.000594546
3,34.4235,1.40594,2.1116,1.53064,0.44781,0.19294,0.20004,0.11388,1.48962,5.5851,1.59242,0.000885602,0.000885602,0.000885602
4,44.144,1.39843,2.05137,1.52318,0.09529,0.60128,0.1546,0.0934,1.58853,6.93887,1.73785,0.000882003,0.000882003,0.000882003
5,54.0571,1.38515,1.95586,1.5304,0.12699,0.64997,0.27819,0.18971,1.48385,3.87867,1.63824,0.000873004,0.000873004,0.000873004
6,64.0903,1.31651,1.85651,1.47609,0.37575,0.32714,0.2378,0.16787,1.47944,3.65101,1.71734,0.000864004,0.000864004,0.000864004
7,73.8043,1.31732,1.79176,1.48424,0.2475,0.45228,0.30555,0.19631,1.51244,5.35258,1.66877,0.000855005,0.000855005,0.000855005
8,83.9444,1.32821,1.70532,1.45717,0.19285,0.6297,0.21043,0.14845,1.39797,4.52635,1.55635,0.000846006,0.000846006,0.000846006
9,93.8611,1.30416,1.6368,1.43567,0.20044,0.48214,0.28137,0.19786,1.40432,3.8478,1.54927,0.000837007,0.000837007,0.000837007
10,103.685,1.28622,1.55342,1.42151,0.19379,0.52866,0.21716,0.1415,1.49155,3.20887,1.58052,0.000828008,0.000828008,0.000828008
11,113.332,1.31274,1.5481,1.4379,0.23443,0.50626,0.27628,0.17931,1.35787,3.94189,1.59349,0.000819009,0.000819009,0.000819009
12,123.007,1.26142,1.46103,1.40985,0.1961,0.70996,0.29911,0.19571,1.42729,3.82022,1.60307,0.00081001,0.00081001,0.00081001
13,132.669,1.26605,1.44988,1.41928,0.1754,0.75881,0.26112,0.17685,1.35814,4.67029,1.54271,0.000801011,0.000801011,0.000801011
14,142.349,1.2515,1.42686,1.4102,0.20822,0.64568,0.2899,0.19046,1.50122,5.72129,1.62398,0.000792012,0.000792012,0.000792012
