epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5884,1.42209,3.21918,1.57982,0.16885,0.54392,0.20536,0.12741,1.49557,6.47821,1.73843,0.000297491,0.000297491,0.000297491
2,37.7918,1.42139,1.93022,1.52291,0.2853,0.41422,0.23881,0.14784,1.51705,8.64511,1.73417,0.000588601,0.000588601,0.000588601
3,55.9875,1.40807,1.66442,1.53185,0.29818,0.32669,0.21173,0.13783,1.71255,12.7533,1.89373,0.000867713,0.000867713,0.000867713
4,74.118,1.44545,1.70962,1.53831,0.11977,0.59973,0.16756,0.10072,1.7477,8.09682,1.88215,0.000855005,0.000855005,0.000855005
5,92.525,1.42097,1.65755,1.54571,0.16674,0.51098,0.2581,0.18267,1.49294,4.56744,1.66589,0.000837007,0.000837007,0.000837007
6,111.183,1.36951,1.64746,1.50255,0.21342,0.45319,0.25057,0.15793,1.47442,5.5972,1.60473,0.000819009,0.000819009,0.000819009
7,129.566,1.35555,1.50075,1.50309,0.32609,0.44967,0.27565,0.19041,1.44733,4.61283,1.60453,0.000801011,0.000801011,0.000801011
8,149.066,1.32742,1.45093,1.46019,0.36199,0.38134,0.2669,0.17884,1.46201,4.12102,1.5992,0.000783013,0.000783013,0.000783013
9,168.475,1.3298,1.38698,1.44632,0.1659,0.77064,0.2698,0.19539,1.46031,5.83646,1.60463,0.000765014,0.000765014,0.000765014
10,187.978,1.30073,1.30884,1.4268,0.2493,0.48593,0.2899,0.18927,1.4616,4.07099,1.61126,0.000747016,0.000747016,0.000747016
11,206.634,1.29748,1.32844,1.44178,0.18439,0.64095,0.28197,0.20146,1.37453,5.06245,1.54787,0.000729018,0.000729018,0.000729018
12,225.163,1.24166,1.24147,1.40223,0.21422,0.70571,0.29897,0.19,1.47198,5.42515,1.59845,0.00071102,0.00071102,0.00071102
13,243.67,1.25261,1.2377,1.4091,0.20118,0.6304,0.29136,0.20183,1.32314,5.00697,1.4879,0.000693022,0.000693022,0.000693022
14,262.27,1.23408,1.19764,1.40685,0.23539,0.5498,0.29504,0.1995,1.37892,4.68822,1.55557,0.000675023,0.000675023,0.000675023
15,281.271,1.20782,1.17863,1.37519,0.20081,0.77893,0.29293,0.18281,1.3566,4.93441,1.53935,0.000657025,0.000657025,0.000657025
16,299.831,1.18322,1.13075,1.36506,0.36186,0.43476,0.3071,0.21383,1.33735,5.16257,1.52871,0.000639027,0.000639027,0.000639027
17,318.404,1.20135,1.11484,1.37565,0.21492,0.65337,0.3269,0.23822,1.32222,4.07419,1.48092,0.000621029,0.000621029,0.000621029
18,337.022,1.14494,1.06284,1.31641,0.1722,0.68458,0.22846,0.15746,1.39468,4.52601,1.51913,0.000603031,0.000603031,0.000603031
19,355.517,1.14429,1.02098,1.32936,0.20638,0.68447,0.25578,0.18031,1.33758,4.3346,1.50284,0.000585032,0.000585032,0.000585032
20,374.069,1.14537,1.00954,1.30731,0.16426,0.6798,0.23374,0.16919,1.27927,3.9831,1.40888,0.000567034,0.000567034,0.000567034
21,392.523,1.11826,0.99247,1.2987,0.16653,0.7626,0.24378,0.16978,1.26963,4.84643,1.44431,0.000549036,0.000549036,0.000549036
22,411.002,1.13841,0.98063,1.32493,0.28292,0.62059,0.2979,0.20636,1.29513,4.32653,1.43674,0.000531038,0.000531038,0.000531038
23,429.538,1.09828,0.96576,1.29246,0.16796,0.71305,0.28085,0.2162,1.28217,5.11138,1.45851,0.00051304,0.00051304,0.00051304
24,448.036,1.07922,0.95223,1.272,0.17779,0.68561,0.23133,0.15847,1.30376,4.01073,1.48582,0.000495041,0.000495041,0.000495041
`25,466.684,1.0654,0.9368,1.27675,0.18434,0.7786,0.23646,0.16673,1.27658,4.56367,1.4455,0.000477043,0.000477043,0.000477043
26,485.49,1.03157,0.90155,1.2587,0.1849,0.72357,0.27355,0.19818,1.24158,4.3419,1.41972,0.000459045,0.000459045,0.000459045
27,504.087,1.02638,0.87293,1.25141,0.18625,0.73119,0.25649,0.18898,1.25883,4.69486,1.43436,0.000441047,0.000441047,0.000441047
